"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Is an Athletic Approach the Future of Software Engineering Education?","E. Hill; P. M. Johnson; D. Port",Drew University; University of Hawaii at Manoa; University of Hawaii at Manoa,"IEEE Software","29 Dec 2015","2016","33","1","97","100","Traditional software engineering education approaches--in-class lectures, unsupervised homework assignments, and occasional projects--create many opportunities for distraction. To address this problem, the authors have employed an approach that treats software engineering education more like athletic training.","1937-4194","","10.1109/MS.2016.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7367991","software engineering education;athletic software engineering;education;software development;unit testing;software engineering","Software engineering;Programming profession;Training;Computer science education;Software development","computer science education;educational institutions;software engineering;training","software engineering education;in-class lectures;unsupervised homework assignments;occasional projects;athletic training","","5","","1","","29 Dec 2015","","","IEEE","IEEE Magazines"
"What Do We Know about Knowledge Management? Practical Implications for Software Engineering","T. Dingsøyr; F. O. Bjørnson; F. Shull",SINTEF Information and Communication Technology; SINTEF Fisheries and Aquaculture; Fraunhofer Center for Experimental Software Engineering,"IEEE Software","17 Apr 2009","2009","26","3","100","103","There have been many claims about knowledge management's benefits in software engineering, such as decreased time and cost for development, increased quality, and better decision-making abilities. Although we can find some success stories illustrating these claims, particularly on aspects related to the systems and engineering schools, more research is necessary to explore the intersection between each school and the software engineering field. Researchers should continue to emphasize the need for a broad focus across multiple KM schools to suceed in improving KM's practical application in software engineering.","1937-4194","","10.1109/MS.2009.82","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814968","software engineering;knowledge management;learning software organization;software process improvement;systematic review","Knowledge management;Software engineering;Educational institutions;Systems engineering and theory;Knowledge engineering;Guidelines;Software development management;Programming;Social network services;Space technology","knowledge management;software engineering","knowledge management;software engineering;decision making;software development","","28","","7","","17 Apr 2009","","","IEEE","IEEE Magazines"
"Global Software Engineering: An Industry Perspective","C. Ebert; M. Kuhrmann; R. Prikladnicki",Vector Consulting Services; University of Southern Denmark; Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),"IEEE Software","29 Dec 2015","2016","33","1","105","108","Professional software products and IT systems and services today are developed mostly by globally distributed teams, projects, and companies. This issue's column summarizes experiences and guidance from industry to facilitate knowledge and technology transfer. It's based on industry feedback from the annual IEEE International Conference on Global Software Engineering.","1937-4194","","10.1109/MS.2016.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7367984","global software engineering;agile software development;agile;outsourcing;IEEE International Conference on Global Software Engineering;ICGSE;software engineering;software development","Software engineering;Industries;Globalization;Outsourcing;Software development","software engineering;software houses;technology transfer","global software engineering;industry perspective;professional software products;IT systems;IT services;globally distributed teams;technology transfer","","11","","7","","29 Dec 2015","","","IEEE","IEEE Magazines"
"Advancing Software Engineering Professional Education","M. Ardis; P. Bourque; T. Hilburn; K. Lasfer; S. Lucero; J. McDonald; A. Pyster; M. Shaw",Stevens Institute of Technology; École de Technologie Supérieure; Embry-Riddle Aeronautical University; Stevens Institute of Technology; US Department of Defense; Monmouth University; Stevens Institute of Technology; Carnegie Mellon University,"IEEE Software","23 Jun 2011","2011","28","4","58","63","The paper mentions that a reference curriculum for master's programs helps ensure software engineers possess the appropriate skills, knowledge, and experience to develop, maintain, and acquire complex systems.","1937-4194","","10.1109/MS.2010.133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5590235","software engineering;computer and information science education;graduate programs;curriculum architecture;core body of knowledge;SWEBOK","Software engineering;Computer science education;Engineering education;Engineering profession;Career development","computer science education;software engineering","software engineering professional education;masters program;software engineering skill;software engineering knowledge;software engineering experience;complex systems development;complex systems maintenance;complex systems acquisition","","11","","15","","30 Sep 2010","","","IEEE","IEEE Magazines"
"Improving the State of Automotive Software Engineering","A. Haghighatkhah; M. Oivo; A. Banijamali; P. Kuvaja",University of Oulu; University of Oulu; University of Oulu; University of Oulu,"IEEE Software","26 Sep 2017","2017","34","5","82","86","The automotive industry is fundamentally changing by becoming software intensive, rather than mechanically intensive. To stay ahead of the game, automakers must continuously improve their software engineering. For this article, the authors studied the existing literature on the subject and made practitioner-oriented recommendations.","1937-4194","","10.1109/MS.2017.3571571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8050198","automotive software engineering;ASE;AUTOSAR;standards;testing;search-based testing;requirements engineering;model-based development;agile development;system integration;continuous integration;regression testing;software reliability growth models;SRGM;variability;software engineering;software development","Software;Automotive engineering;Industries;Testing;Tools;Software engineering;Biological system modeling","production engineering computing;software engineering","automotive software engineering;automotive industry;practitioner-oriented recommendations","","4","","18","","26 Sep 2017","","","IEEE","IEEE Magazines"
"Putting Human Aspects of Software Engineering in University Curricula","O. Hazzan",Technion–Israel Institute of Technology,"IEEE Software","14 Jun 2010","2010","27","4","90","91","Although people-related issues are central factors in determining the success of software projects, they do not receive sufficient attention in the software industry to improve project results. This essay describes two barriers to their getting more attention: barriers that originate in the academic status and positioning of software engineering. The essay also proposes several suggestions regarding the professional development of software practitioners.","1937-4194","","10.1109/MS.2010.104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5484115","human aspects of software engineering;software engineering education;computer science education;software projects;software industry;professional development of software engineers","Humans;Software engineering;Computer industry","computer science education;DP industry;software engineering","software engineering;university curricula;software projects;software industry","","3","","7","","14 Jun 2010","","","IEEE","IEEE Magazines"
"Where's the Theory for Software Engineering?","P. Johnson; M. Ekstedt; I. Jacobson",KTH Royal Institute of Technology; KTH Royal Institute of Technology; Peking University,"IEEE Software","21 Aug 2012","2012","29","5","96","96","Darwin's theory of natural selection, Maxwell's equations, the theory of demand and supply; almost all established academic disciplines place great emphasis on what their core theory is. This is not, however, the case in software engineering. What is the reason behind the software engineering community's apparent indifference to a concept that is so important to so many others?","1937-4194","","10.1109/MS.2012.127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6276302","software engineering theory;theory;explanation;prediction;science;engineering","Software engineering;Predictive models","software engineering","software engineering theory;software engineering community","","17","","","","21 Aug 2012","","","IEEE","IEEE Magazines"
"Software Engineering for Spreadsheets","M. Erwig",Oregon State University,"IEEE Software","25 Aug 2009","2009","26","5","25","30","The idiosyncratic structure of spreadsheets allows the adaptation of proven software engineering principles to an end-user domain and thus makes software engineering accessible to many users.","1937-4194","","10.1109/MS.2009.140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5222790","spreadsheets;software engineering;type checking;debugging;spatial analysis","Software engineering;Labeling;Embedded software;Software tools;Embedded computing;Application software;Runtime","software engineering;spreadsheet programs","software engineering;spreadsheets;idiosyncratic structure;end-user domain","","20","","15","","25 Aug 2009","","","IEEE","IEEE Magazines"
"Regress or Progress? Seeing Good Software Engineering Ideas Through","H. Erdogmus",Kalemun Research,"IEEE Software","25 Feb 2010","2010","27","2","4","7","In the last edition of From the Editor (""Deja Vu: The Life of Software Engineering Ideas,"" January/February 2010), I wrote about how modern software engineering ideas evolve. I represented an idea's maturation life cycle from conception to streaming in terms of nine states, interactions with the life cycle of other related ideas, and regressive loops that preempt an idea's normal progression and revert it to a previous state. In this edition, I discuss the levers that help prevent reversion, or at least premature reversion, and push a worthwhile idea forward toward the streamed state. These levers work only for good ideas, or those that have genuine merit, and before the idea reaches the streamed state. Once an idea reaches that point, we don't have much control; short attention spans are inevitably diverted elsewhere.","1937-4194","","10.1109/MS.2010.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5420787","software engineering innovation;diffusion of software innovations;adoptability of software innovations","Software engineering","software engineering","software engineering;maturation software life cycle","","","","","","25 Feb 2010","","","IEEE","IEEE Magazines"
"Collaboration Tools for Global Software Engineering","F. Lanubile; C. Ebert; R. Prikladnicki; A. Vizcaíno",University of Bari; Vector Consulting Services; Pontifícia Universidade do Rio Grande do Sul; University of Castilla-La Mancha,"IEEE Software","25 Feb 2010","2010","27","2","52","55","Software engineering involves people collaborating to develop better software. Collaboration is challenging, especially across time zones and without face-to-face meetings. We therefore use collaboration tools all along the product life cycle to let us work together, stay together, and achieve results together. This article summarizes experiences and trends chosen from recent IEEE International Conference on Global Software Engineering (IGSCE) conferences.","1937-4194","","10.1109/MS.2010.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5420797","software engineering;collaboration;global software development","Collaborative tools;Collaborative software;International collaboration;Software engineering;Collaborative work;Meetings","groupware;product life cycle management;software engineering","collaboration tools;global software engineering;product life cycle;IEEE international conference","","101","3","10","","25 Feb 2010","","","IEEE","IEEE Magazines"
